file         #nidus       #normal   

10312-3      29795        6646      
10983-1      1630         12901     
10983-4      403          19492     
12228-1      1506         21960     
13052-1      6049         12178     
13052-2      8788         12640     
13052-4      6096         18293     
13052-5      5640         16889     
13052-6      5335         13469     
13052-7      7264         24346     
13132-1      926          20412     
14298        446          31031     
15655-1      2304         22855     
15655-10     0            24765     
15655-3      284          34866     
15655-4      0            39517     
15655-5      0            38821     
15655-6      0            40923     
15655-7      0            37450     
15655-8      0            34666     
15655-9      0            30495     
15946-1      201          19943     
15946-2      560          21768     
15946-3      1513         20962     
15946-4      3656         22001     
15946-5      4049         20780     
15946-6      3923         19693     
15946-7      1212         17695     
15946-8      742          17307     
16589-1      605          29627     
16589-2      1846         18567     
16589-3      2951         16661     
16589-4      2662         15030     
16589-5      638          22854     
17965-3      15325        8623      
17965-4      19991        6672      
17965-5      17968        6986      
17965-6      20869        8110      
1801         3266         20185     
1801-3       2588         17072     
1801-4       2205         17758     
1801-5       1464         14644     
2217-1       879          19242     
23689-1      0            21751     
23689-2      134          24602     
3788-2       1004         17880     
4557         870          25102     
5587-5       1253         27683     
7679-6       0            24928     
9647-1       0            23702     
9647-2       0            23997     
9647-3       0            23795     
9647-4       0            20554     
9647-5       0            21910     
9647-6       0            20176     

total        188840       1172875
